teff_gspphot,phot_g_mean_flux,distance_pc,radius_gspphot
5369.6284,7696.15195338641,1289.5642931044874,0.7249
5160.585,111112.54288473676,823.4620869533801,2.6989
5520.2573,30168.193890259336,1372.6913647006288,1.4691
4579.7266,6220.015240427634,693.7126653018985,0.6905
4107.0176,1796.2257221214911,672.2498969235916,0.7721
5718.32,166453.52829724475,456.7733492139735,1.365
4293.105,3149.237345755737,745.9129226383305,0.7659
5380.4224,18358.335907176865,674.7885655416522,0.7187
5732.36,24121.7748504051,1502.871889788802,1.3535
4625.379,5086.183340547067,996.0899183070253,0.6292
4575.7637,3962.39066785003,1091.4103762054522,0.626
5641.951,12956.95950283562,1625.4873170955802,1.0376
3404.2693,864.9498702901498,390.6040873371915,0.3681
4773.124,5355.922787785391,1283.3320342043082,0.7794
6468.235,17905.67775175369,2173.2088190821432,1.3968
5498.943,15568.99734387522,1083.9794950248909,0.8182
5947.735,35729.19824681553,1334.3090846532036,1.7759
5688.137,12507.421880898024,1494.8371951592292,0.8522
5309.881,205508.91203406305,1267.1234909651114,4.149
6031.6387,24577.989361582822,1280.6589234920364,1.169
5894.4717,179300.79815868274,477.75335893492587,1.4142
5369.5693,24880.337839935637,965.9979385164085,1.1176
5179.1865,13504.612962072571,1237.2572307632577,1.3817
3195.17,663.4434241922221,231.3007938790019,0.2379
4276.0566,1661.9114763761245,803.7223096911572,0.6901
4280.0303,4077.7183744294384,759.1941705900472,0.5787
5526.094,13243.514490585543,2470.1172848454416,1.3747
5054.588,5394.9132448950095,1465.2832721979262,0.6208
5071.5264,14757.660681570664,870.9140393643788,0.9524
4990.814,7521.189808626377,1096.9040476304456,0.858
4282.244,2951.284398759118,739.0205008272819,0.6338
5008.19,6962.118595881106,1078.806022888413,0.7109
5862.439,29114.760166503173,1257.3431593005564,1.3635
5856.5586,16865.105824934006,1472.0229136452501,1.0911
5916.0234,14084.53260353801,1174.9378337844425,0.9636
4664.7026,77563.48232305743,3233.073751634399,9.1283
3866.7754,2329.1365973722877,602.8782389511967,0.5568
5240.049,27305.824148831973,706.166407359892,0.9562
3407.9624,851.2399289142967,484.4094599086427,0.3365
5443.9097,26205.016838432617,584.1946801512976,0.7247
5228.827,9493.34673074394,1417.832481481683,0.923
4584.607,40830.32759499734,327.6938961820291,0.742
4565.323,2961.8396612436627,1004.7858909111102,0.7611
5813.7393,16263.108545425492,1161.984515637412,0.8804
5656.3877,7849.345064308107,1691.8976650755374,0.7077
6432.54,86647.93295490526,1177.4658536651434,1.7388
3635.1099,1699.2272736854975,455.29255062052295,0.5229
6373.098,17817.94881816101,2266.5328026383204,1.3163
5057.036,165236.4926165689,2223.193835007231,7.9052
6034.613,45882.74516061085,738.093772470582,1.0035
4156.6724,7947.257035391512,342.7048370328937,0.6357
4245.8438,11273.507695223268,384.28654377192464,0.654
5306.3784,9386.851071394374,1631.620780870495,0.7238
5171.126,18457.939131592542,191.8721241732173,0.5138
3986.5166,3199.4818869144,488.739933634061,0.5539
5238.1963,22597.43915555116,706.6756184637646,0.9132
3631.6453,1030.9111794126227,500.46052857780654,0.3224
5811.1357,13794.556514220036,1235.401558540163,0.9926
5101.021,8163.986261600309,1755.1656562453288,1.0016
5975.1733,104848.98881290312,662.060119956307,1.4445
6750.2886,141279.30687483828,609.4059083391381,1.2734
4765.764,5041.488071012435,1561.3124973820304,0.8974
6451.645,535304.6979403057,388.2267758682588,1.6644
5602.847,13577.336440182724,1246.2596116221882,0.9544
4391.9634,3620.33703885421,1160.9105422407538,0.7409
3820.3572,1812.5769791916932,481.77143377517797,0.4479
3355.2224,824.9332368519808,384.7600524782012,0.3217
3886.909,2029.5913844971249,873.2707766552917,0.6329
3848.1675,2089.375001498491,708.3524787841741,0.4567
5067.8193,7079.159956608023,1480.5745863469626,0.9225
4693.753,5989.466928502916,1000.0178139329486,0.9039
5322.0854,19227.244617655608,1003.6781537689225,1.0488
6208.1616,34272.981282433095,1852.1004418484588,1.7745
4507.7295,4262.596924670871,841.8987624425774,0.8002
5338.2817,10156.21782085044,1291.789333341723,0.922
5983.3564,36077.891462585125,1547.9918090743379,2.1246
4159.206,1608.7146155448286,538.1346766114062,0.5129
4726.3433,16457.633106672714,425.33406132828475,0.7447
4560.308,4292.049190792247,957.2380650952525,0.6591
5531.333,788413.3761869521,1004.3094905637284,8.5273
3207.914,1307.1468752451312,236.22931265961907,0.4139
4513.7197,2531.9315467243478,874.9442305086941,0.6714
4710.8784,10846.989814502189,1149.9093847350607,1.0042
4893.126,10527.044164957711,751.2945586593505,0.7202
5080.365,292747.23643451504,187.47185582037125,0.8631
4968.411,6258.262940533735,935.3999346037751,0.65
4500.905,4434.272473643122,624.4441599752829,0.7143
3521.318,1041.1961035006382,553.4548845445357,0.4696
4887.0967,7649.710249660229,894.6793963154943,0.8174
5681.983,18346.983109855693,1780.751135847227,1.4024
5683.449,17012.810246722926,1283.317285170872,0.9697
5776.3203,7948.143049141797,1562.2559099945029,0.7681
6117.5625,15653.97797512062,1510.4952398612165,1.0082
4960.603,21508.83949969512,625.6905306181455,0.8607
4602.476,3791.5998349024057,1258.3995983921575,0.6998
4927.19,4195.761319983687,1289.1307941062303,0.6255
4983.222,2189547.802182559,442.98982884585484,7.9548
4747.167,5841.550468558482,1357.0927222325802,0.885
5069.472,6251.989221312334,2066.18754921006,0.9378
5467.739,16432.055343121945,701.9607546354108,0.7616
6065.9043,15049.495594493214,1853.569255810737,1.324
4775.706,4191.697243205495,1279.8972684265768,0.647
4972.8047,3920.45950760009,1441.2329614501407,0.6118
5538.294,14997.939507153187,1940.9580104297333,1.3361
4497.674,5332.308374285547,722.7645279928489,0.6359
5115.932,20295.194221683,791.3546208972915,0.9975
4958.3516,5088.862102509072,1226.581395891451,0.6445
5724.765,10240.237871599657,1998.9872785579678,1.0257
5194.3516,11120.182184325142,1386.9898762339942,0.9521
5280.08,15357.693454538625,1914.5435708667026,1.563
4101.401,4301.149715691846,411.8134480978789,0.5935
5067.7915,4370.225215906432,1301.064319330464,0.6807
3997.4521,3267.855968932756,687.9870736406224,0.9334
5247.735,5559.7579138707215,1381.818427588871,0.6274
6841.194,71058.56628721033,1153.5367191331848,1.5826
4626.407,5327.65986531597,958.7518986939489,0.8417
6430.4253,66798.48595942369,685.5160205610739,1.1071
6449.0244,14983.264846972716,2085.5640409881794,1.2015
5577.0635,14516.867570575048,1405.7239560174885,1.0538
3271.5771,689.8004967743443,255.5781328403455,0.1959
4351.0317,4578.050296837378,823.3450286383855,0.7985
4182.9473,3447.1607284636225,469.8031762448941,0.7488
5482.9453,46576.65015357567,679.864024220442,1.0382
4334.5835,3707.193104841392,867.2118662686973,0.8055
5776.8022,104514.02737435357,566.4756048001275,1.2896
5117.221,275576.0425526362,1580.8919312336927,7.2993
4314.7573,3258.9821989166185,1123.751219666396,0.5351
5386.552,63411.57896634053,836.2816162730567,1.65
6473.464,45956.33263732751,1182.3973906184954,1.3613
5355.08,13320.27051129742,1028.1368665514676,0.8066
4274.7397,3278.42635452392,1262.2976676406824,0.7335
5898.1035,14410.965436236103,1330.2014251829296,0.9152
3372.191,918.9457127194548,481.3551728637033,0.5139
5311.977,40045.78048009345,474.92829035400143,0.8017
5945.277,54327.54547697679,829.4948849926744,1.3652
4770.13,3800.630259341564,1208.7354506756267,0.5789
4928.965,4260.525222188229,1249.952856432764,0.5467
4269.395,4264.253248474284,454.95914677098676,0.7308
3723.3333,2513.1224369720862,435.060727794392,0.9393
3884.6008,3778.542663253714,437.7316092541953,0.5948
4931.303,17459.836265927996,602.7015455365415,0.8022
5835.6045,38878.08899273566,921.2217963237437,1.2002
3861.9236,1871.5936681081284,726.5091254544802,0.459
3276.7825,1842.2545027128804,177.80944172743574,0.2939
4514.9614,2659.484696825107,958.1351864929662,0.6513
