source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,radius_gspphot
139004211353804032,0.8181709817498856,0.02619735,31.23106,1.0794432,14.357925,14.824464,13.731806,1.092658,5380.617,1.7502
139005624398868864,4.7645338085032485,0.16387339,29.074482,0.90495676,18.244907,20.066843,17.006996,3.0598469,3263.8794,0.2715
139006174154685696,0.4560758524442463,0.041633043,10.95466,1.0267221,15.593284,15.989672,15.023268,0.96640396,6312.2993,1.0821
139007548544199936,0.5884388741800105,0.050514523,11.648905,0.99353904,15.982228,16.42926,15.373498,1.0557623,5392.718,0.7522
139007960861069696,0.7881879337434294,0.024755647,31.838713,1.0438075,14.373559,14.685648,13.891374,0.79427433,6520.3867,1.2329
139008476257691520,0.5208508743241985,0.04606505,11.306855,0.95543903,15.667679,16.061785,15.095406,0.96637917,6080.681,0.9187
139017822106089216,0.5276830949174072,0.026006863,20.29015,1.0350053,14.466298,15.032043,13.753065,1.2789783,4864.5317,3.6413
139019677531970688,1.1899627425017096,0.09150778,13.003952,1.0582956,16.979694,17.783857,16.11848,1.6653767,4499.1333,0.6595
139021292439669120,0.7301686293681978,0.026195588,27.873726,1.0295938,14.436074,14.750179,13.951978,0.79820156,6468.9307,1.9256
139021361159143936,1.3470367859841468,0.04910733,27.430462,1.0915562,15.799161,16.380207,15.071298,1.3089094,4743.5225,0.9557
139021532957836544,1.0002719238441127,0.07351562,13.606251,1.0190957,16.667423,17.309504,15.895112,1.4143915,4473.964,0.8778
139023766340820352,1.0482708084286558,0.020444863,51.273067,1.1815801,13.464671,13.911106,12.852927,1.0581789,5569.3228,1.9387
139024762773224064,0.7354525248287057,0.04234927,17.366356,1.0500337,15.595539,16.020483,14.99885,1.0216331,5418.268,1.0221
139024998995605120,0.6713585917245899,0.043332458,15.493204,0.98705137,15.602948,16.018953,15.018023,1.0009308,5839.059,0.8336
139026549479605376,1.1951877542555025,0.022040624,54.226585,1.0244616,14.297283,14.723862,13.701548,1.0223141,5745.6997,1.1324
139027133595172864,0.7134697215062774,0.060982607,11.69956,1.0338243,16.305561,16.74813,15.687684,1.0604467,5078.182,0.7214
139031291123403520,0.7884430112770635,0.055214923,14.279528,1.08401,15.915403,16.403276,15.264471,1.1388054,5352.6787,0.7284
139033627585599616,0.8320152304278614,0.02081762,39.966873,1.1108494,13.681154,14.133851,13.06123,1.0726213,5631.656,1.9913
139034894600010880,0.780051734766389,0.029648693,26.309818,0.97591,14.945078,15.345723,14.3737135,0.97200966,5480.902,1.1788
139035139414075904,0.6678352051200335,0.04276617,15.61597,1.0293157,15.714569,16.134487,15.13189,1.0025969,5571.5034,0.92
139036131550566272,1.195194243608039,0.113677725,10.513883,0.97919834,17.448862,18.593315,16.380297,2.2130184,3791.8735,0.6133
139039090784568448,1.6965234683088937,0.043285646,39.193676,1.085958,15.7025585,16.39907,14.896046,1.503025,4584.9795,0.7593
139041461605929344,0.5537307742526112,0.03183675,17.392817,1.0015833,15.101338,15.491966,14.532963,0.95900345,5612.089,1.3863
139042281943856384,1.8590619800007804,0.07441504,24.98234,0.92725813,16.74611,17.784946,15.742178,2.0427685,3702.5303,0.6429
139045344256364800,0.7939160010141489,0.02409487,32.949585,0.9560398,14.602837,14.964766,14.074697,0.890069,6129.9272,1.2342
139045756573808512,6.815616674455618,0.06373533,106.93625,1.0511075,15.773892,17.212982,14.599481,2.6135015,3435.8682,0.47
139136290188654976,0.8930331266488647,0.07036338,12.691731,0.95221925,16.849154,17.426226,16.126486,1.2997398,4862.8843,0.5233
