source_id,parallax,parallax_error,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radius_gspphot
139006380313656448,1.2070357423404594,0.085334525,14.1447525,0.95966476,16.80339,17.61488,15.936096,1.6787834,0.6951
139009262234931456,2.780727563693799,0.22608447,12.299507,1.1062865,18.567942,20.113653,17.412573,2.7010803,0.2706
139010675280398336,1.3503929628136147,0.030941594,43.643288,1.0703337,14.693307,15.152343,14.070272,1.0820704,0.958
139010945862221824,4.113693216462361,0.15477322,26.578844,1.0246695,18.060656,19.70401,16.856016,2.8479939,0.2848
139011121956991616,0.5892962491046649,0.040049452,14.714214,1.028465,15.387298,15.847817,14.757943,1.0898743,1.1116
139017959545070592,7.358924337104612,0.07786458,94.50927,1.020781,16.728855,18.421309,15.486321,2.934987,0.3394
139021807835737728,1.3126041010728184,0.03581734,36.647167,1.1509581,15.030993,15.536421,14.374257,1.1621637,1.0503
139028301826274944,1.2687584837356363,0.03911195,32.43915,1.0556272,15.585136,16.168362,14.86815,1.3002119,0.8855
139030500849517568,0.9275573094366469,0.017899081,51.821507,1.0596716,13.45624,13.784798,12.95198,0.83281803,2.1755
139034452219318016,3.455582061974592,0.025264762,136.77478,1.3584918,13.885136,14.543501,13.100477,1.4430237,0.8644
139041388590636416,1.679175731737376,0.039504703,42.50572,0.93679756,15.659687,16.280336,14.906768,1.3735685,0.7972
139042969138234240,0.704758188284556,0.01885352,37.380726,1.2014205,12.305119,12.534159,11.926151,0.60800743,2.7178
139043317032185472,0.7841902324919681,0.018136954,43.237152,1.0717634,11.324616,11.945007,10.570633,1.3743744,9.8392
139118216965847936,8.206982338298296,0.10048191,81.676216,0.97268325,17.152494,18.959728,15.944545,3.0151834,0.2461
139133614424790016,0.8672107002880001,0.02550234,34.005142,0.99309194,14.647112,15.049248,14.073759,0.97548866,1.191
139136157045541120,0.5926269889730749,0.032893345,18.016623,1.0574216,15.464493,15.898099,14.853588,1.0445108,1.1479
139138901528908800,2.671828312804213,0.18743438,14.254741,1.1058964,17.866362,19.205093,16.693136,2.5119572,0.3735
139139936616661376,1.2479800568571506,0.036436107,34.25119,0.98952925,15.108348,15.556902,14.49128,1.0656223,0.7406
