Exponent,Intercept,R2,RMSE,Neighbours,Experiment,CentreIndex
-0.9295927492643813,21.24446916564636,0.33666097752754276,0.1853211119393974,50,31,1284
-1.2847499017044943,30.377502113975446,0.6290321146310194,0.21154753448943348,50,32,5825
-1.7520153150805902,38.92747454186354,0.8840256841974278,0.1216224350970747,50,33,17137
-1.5009631883697456,32.49574383704889,0.7739982457140145,0.10325793593032163,50,34,10130
-0.9872048415230291,22.82836837427007,0.6138906245792279,0.11467493105382572,50,35,15692
-0.858948824575145,20.528607433470963,0.26406176893289424,0.10512411410954128,50,36,9734
-1.7497739097137268,37.41713831942951,0.8417669200584749,0.160274227670098,50,37,9803
-0.386902408657341,10.674252042480287,0.09909771207144269,0.1202610179840827,50,38,12016
-1.5752784108086013,35.230572098741874,0.8787177429343037,0.13595497199666196,50,39,19178
-1.5995451316787495,34.15924667893546,0.9196312595435026,0.11369330906328223,50,40,8748
-1.5246466192259733,34.02554629848134,0.9079600102669584,0.1138163332081524,50,41,11915
-1.7061474943759718,37.854277960053224,0.9154005940718751,0.12126625848791675,50,42,18389
-1.6745543911324186,36.96997942278519,0.8878640967609028,0.1449428025362858,50,43,7446
-1.1766846155243762,26.163751816516612,0.6254392890044158,0.13154225025715588,50,44,16798
-1.754160752455967,38.64410693288852,0.950363780501767,0.08758302666083655,50,45,10701
-0.17968204681414396,6.648408374081925,0.003258564319533974,0.2875986327485072,50,46,17582
-1.5833520268109391,35.19499841059577,0.9182284500213472,0.1121667126746045,50,47,9356
-1.7783945383798638,40.425503421259286,0.8393166562723893,0.1755353487505546,50,48,12590
-1.784788154324922,39.714642451004444,0.7552483339235496,0.20704666358979534,50,49,6465
-1.493114130641452,33.34083363444714,0.8489481430054516,0.14264011120715264,50,50,12700
-1.718837724478894,37.940243570536,0.9302589266322657,0.11423056905165084,50,51,6524
-1.2606803893955383,28.33943720270917,0.5624180935814206,0.1447461821407292,50,52,12183
-1.5811754555522526,34.24036400282147,0.517335595274663,0.25131594568925136,50,53,15775
-0.6105278999832718,15.601368340199569,0.5316905201308544,0.11620924342290902,50,54,8697
-2.2659011597486582,49.00425697418059,0.7203545402232368,0.2574190229434958,50,55,8584
-1.6672046746036286,37.708433398997734,0.6620712881369106,0.2321586690049535,50,56,6442
-1.445547361283974,32.6698713557784,0.723078270950057,0.13529918676768776,50,57,14609
-1.5075803708393842,32.04776245276179,0.8692148722711213,0.10953371312856428,50,58,11840
