temperature_K,radius_m,distance_m,flux_proxy,logT,logR,logD,logF
5351.5474,5100385410.0,7.692654882948615e+19,16337.496414521402,3.7284793764349824,9.707602994747354,19.886076249038155,4.2131855052769716
5292.4775,1547793360.0,7.282163167773678e+19,8276.640538331856,3.7236590203718247,9.189712979213754,19.86226040572534,3.9178540938228754
3516.6738,334562130.0,9.41891701392464e+18,1822.3399537208225,3.5461320858517253,8.524476780431456,18.97400097053014,3.2606293969252502
9001.842,1402879050.0000002,1.0098406125731116e+20,16100.30305022659,3.9543313859485685,9.147020229701287,20.00425283265153,4.206834050677967
5371.07,1183803120.0,2.463543922784969e+19,41472.01347770698,3.73006081247895,9.073279480252323,19.391560309762173,4.617755120992907
4810.175,548559450.0,1.720478857510524e+19,15016.192946397508,3.6821608768211918,8.73922370102257,19.235649340064807,4.176559839995375
6151.9414,656114670.0,5.997167353799234e+19,6160.166264122671,3.789012189963425,8.81697974821123,19.777946168200366,3.7895924340177625
7097.181,1013704470.0,5.821858380727528e+19,7125.274104148322,3.8510858812185798,9.005911361550348,19.76506163682649,3.8528015759969443
9677.519,1355084460.0,7.451050721069816e+19,14671.12115155737,3.985764032647883,9.131966364855296,19.87221751975321,4.166463303436309
4881.672,587518650.0,2.4241350276213363e+19,6625.960634641184,3.688568595774426,8.769021657264677,19.384556806961907,3.8212488513755676
6936.49,2255528970.0,6.196174518299576e+19,19580.030102084995,3.8411397645113503,9.353248409545165,19.79212364137689,4.291813355146351
6643.475,951578460.0,4.863832242781808e+19,10407.78920995255,3.8223953050539228,8.97844460275466,19.686978587380924,4.017358487830867
4909.9194,31626591570.0,1.2358291951563112e+20,485713.0718172326,3.691074362912673,10.500052390078771,20.09195845074708,5.686379791637953
5745.009,725197680.0,3.831234460989788e+19,13070.801552172465,3.7592907133806617,8.860456406062179,19.583338730421687,4.116302221016774
5713.8765,611102880.0,1.860582319286644e+19,45380.39975299586,3.75693084928646,8.786114330463667,19.269648889633583,4.656868317237669
5059.352,427646790.0,3.114629202146757e+19,5777.439215409273,3.7040948961192908,8.631085216478507,19.49340635114066,3.761735384951457
5528.7856,6338105280.0,1.2372723185991777e+20,84785.80703956823,3.7426297488205775,9.80195944882451,20.09246529659679,4.928323158385459
5331.645,699178499.9999999,3.370906918251909e+19,10881.757970336406,3.726861224824022,8.844588065114158,19.527746760397658,4.036699062195112
5973.153,760817519.9999999,3.946190354768643e+19,14615.345354585888,3.776203639174448,8.881280504917415,19.59617803074681,4.1648090820142825
6242.7344,963196650.0,3.546187029147042e+19,25411.57363095601,3.7953748580662983,8.983714963439244,19.549761636957093,4.405031559898054
7118.295,870807690.0,6.064588735256424e+19,5656.5939795955865,3.852375982293478,8.939922255589336,19.782801354903377,3.7525550069621803
5470.603,753373530.0,5.94398036137126e+19,5929.052417441476,3.7380351993021974,8.877010357071274,19.774077365866553,3.7729852898634255
5946.677,14163686729.999998,1.3006511636229402e+20,38652.231046103305,3.77427434997948,10.151176312541248,20.114160833819255,4.58717456689722
8404.066,2679418980.0,6.872698340691417e+19,27973.44292481752,3.9244894544101707,9.42804062942557,19.83712728209497,4.446745921903528
5380.464,1064629710.0,3.158239988120766e+19,29802.87569177887,3.7308197299322514,9.027198581608499,19.499445128065098,4.474258171351959
6996.3423,1238763420.0,3.5262237507075604e+19,65846.84827745672,3.8448710494293494,9.092988372397773,19.54730986627713,4.818534992532937
